asin,product_title,product_price,product_star_rating,sales_volume,product_num_offers,product_original_price,product_minimum_offer_price
B0D54JZTHY,Apple AirTag 4 Pack,72.99,4.7,10000,4,99.0,72.26
B0DDK1WM9K,Meta Quest 3S 128GB — Get Batman: Arkham Shadow and a 3-Month Trial of Meta Quest+ Included — All-in-One Headset,299.0,4.4,15,22,0.0,287.65
B0CWXNS552,Apple AirTag,24.0,4.6,10000,5,29.0,23.04
B0CJM1GNFQ,"Amazon Fire TV Stick 4K (newest model) with AI-powered Fire TV Search, Wi-Fi 6, stream over 1.5 million movies and shows, free &amp; live TV",27.99,4.7,10000,1,49.99,27.99
B0DGJ7HYG1,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, with Active Noise Cancellation, Adaptive Audio, Transparency Mode, Personalized Spatial Audio, USB-C Charging Case, Wireless Charging, H2 Chip",168.99,4.3,10000,5,179.0,133.43
1338896458,Dog Man: Big Jim Begins: A Graphic Novel (Dog Man #13): From the Creator of Captain Underpants,10.49,4.7,0,1,14.99,10.49
B0BZ8MB4KM,"Original with App, Used by Celebrities - MMA Gear Boxing Ball - Boxing Reflex Ball with Adjustable Strap - Interactive Boxball App Integration - 1 Pack",29.99,3.9,100000,1,0.0,29.99
B0D4DJ6BRR,"DAYBETTER LED Strip Lights 130ft Lights Strip for Bedroom, Desk, Indoor Room Bedroom Brithday Gifts RGB Decor with Remote and 24V Power Supply",14.98,4.4,10000,1,19.99,14.98
B0DPKXRBPM,Preacher&#x27;s Daughter,35.98,4.7,10000,1,0.0,35.98
1510782699,Melania,28.0,4.5,0,23,40.0,25.14
B0DJQVYV99,Forgotten Home Apothecary : 250 Powerful Remedies at Your Fingertips,37.0,4.7,0,1,0.0,37.0
B0CQMRKRV5,"Amazon Fire TV Stick HD (newest model), free and live TV, Alexa Voice Remote, smart home controls, HD streaming",19.99,4.5,10000,1,34.99,19.99
B0CHTKNWBL,Amazon.com Gift Card Balance Reload,5.0,4.7,0,1,0.0,5.0
1649374186,"Onyx Storm (Deluxe Limited Edition) (The Empyrean, 3)",19.78,0.0,0,1,32.99,19.78
B0CQ2WYS21,Wind and Truth: Book Five of the Stormlight Archive,0.0,4.7,0,1,37.49,0.0
B0DHYGWYJ6,"TurboTax Deluxe 2024 Tax Software, Federal &amp; State Tax Return [PC/MAC Download]",55.99,3.7,0,1,79.99,55.99
B0BZWRSRWV,"All-new Ring Battery Doorbell, Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection &amp; Alerts (2024 release), Satin Nickel",59.99,4.5,10000,1,99.99,59.99
B0D7M71LX4,"Just Dance 2025 Edition – Limited Edition, Nintendo Switch (Code in Box)",24.99,4.2,15,26,49.99,24.74
B0CFPJYX7P,"All-new Amazon Kindle Paperwhite (16 GB) – Our fastest Kindle ever, with new 7&quot; glare-free display and weeks of battery life – Black",134.99,4.3,10000,1,159.99,134.99
0593542533,We Who Wrestle with God: Perceptions of the Divine,20.02,4.5,0,1,35.0,20.02
B0CKLZGC6V,The Wedding People: A Novel,0.0,4.3,0,1,20.24,0.0
0593798872,All the Colors of the Dark: A Read with Jenna Pick,14.03,4.6,0,32,30.0,11.6
B0DCZLNX94,Amazon.com Gift Card in a Mini Envelope (Christmas),10.0,4.8,0,1,0.0,10.0
B0DJQ2V9QR,H&amp;R Block Tax Software Deluxe + State 2024 with Refund Bonus Offer (Amazon Exclusive) Win/Mac [PC/Mac Online Code],49.97,3.5,0,1,59.99,49.97
B017250D16,Paramount+,0.0,3.7,23,1,0.0,0.0
B019DCHDZK,"Fubo: Watch Live TV &amp; Sports, Shows, Movies &amp; News",0.0,3.8,23,1,0.0,0.0
006286310X,"Cher: The Memoir: Part One of a Two-Part Memoir from the Iconic Artist and Actor (The Cher Memoir, 1)",20.98,4.6,0,28,36.0,17.99
